,model,DLSTM__batch_size,DLSTM__lr,LGB__boosting_type,LGB__colsample_bytree,LGB__learning_rate,LGB__max_depth,LGB__n_estimators,LGB__num_leaves,LGB__reg_alpha,LGB__subsample,LR__fit_intercept,LSTM__batch_size,LSTM__lr,MCCNN__batch_size,MCCNN__lr,MHCNN__batch_size,MHCNN__lr,MLP__hidden_layer_sizes,N_freqs,WaveNet__batch_size,WaveNet__lr,WaveNet__n_filters,WaveNet__n_residual_blocks,n_targets,nterms,regr,stride,win_size,win_smooth,MAE_train,MAE_valid,MAE_test,RMSE_train,RMSE_valid,RMSE_test
40,config_8,,,,,,,,,,,,,,,,,,,0,32.0,0.001,8.0,1.0,24,10,WaveNet,1,24,8,1.7162595987319946,1.6999064683914185,2.0448286533355713,2.202726125717163,2.10162615776062,2.4550230503082275
41,config_8,,,,,,,,,,,,,,,,,,,0,32.0,0.001,8.0,1.0,24,10,WaveNet,1,24,8,1.7137283086776733,1.7045561075210571,1.6603304147720337,2.1908485889434814,2.106816291809082,2.0392351150512695
42,config_8,,,,,,,,,,,,,,,,,,,0,32.0,0.001,8.0,1.0,24,10,WaveNet,1,24,8,1.6484932899475098,1.7834340333938599,1.3626272678375244,2.148344039916992,2.14844012260437,1.743017315864563
43,config_8,,,,,,,,,,,,,,,,,,,0,32.0,0.001,8.0,1.0,24,10,WaveNet,1,24,8,1.636229157447815,1.4460070133209229,1.3949637413024902,2.137044906616211,1.8238277435302734,1.7230931520462036
44,config_8,,,,,,,,,,,,,,,,,,,0,32.0,0.001,8.0,1.0,24,10,WaveNet,1,24,8,1.5164227485656738,1.2815392017364502,1.5046074390411377,1.9731370210647583,1.6731098890304565,1.824118733406067
45,config_9,,,,,,,,,,,,,,,,,,"(200, 200, 200, 200)",0,,,,,24,10,MLP,1,24,1,0.5222600698471069,1.7908207178115845,2.106053590774536,0.6845402717590332,2.4009921550750732,2.6933882236480713
46,config_9,,,,,,,,,,,,,,,,,,"(200, 200, 200, 200)",0,,,,,24,10,MLP,1,24,1,0.5120530724525452,1.8736066818237305,1.945626974105835,0.6667938828468323,2.4506676197052,2.5545361042022705
47,config_9,,,,,,,,,,,,,,,,,,"(200, 200, 200, 200)",0,,,,,24,10,MLP,1,24,1,0.4911060631275177,2.0580172538757324,1.6184511184692383,0.6395564079284668,2.647423267364502,2.1687660217285156
48,config_9,,,,,,,,,,,,,,,,,,"(200, 200, 200, 200)",0,,,,,24,10,MLP,1,24,1,0.5445516109466553,1.790497064590454,1.5530158281326294,0.7071604132652283,2.3473100662231445,2.089756488800049
49,config_9,,,,,,,,,,,,,,,,,,"(200, 200, 200, 200)",0,,,,,24,10,MLP,1,24,1,0.5100239515304565,1.6459002494812012,1.7555961608886719,0.6573770046234131,2.2234766483306885,2.24855375289917
50,config_10,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1,1.2450900809332983,1.594272825971715,1.8474320646370952,1.6222404351991162,2.0509693805478055,2.2938820472458596
51,config_10,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1,1.2279649405992383,1.5938429065583057,1.5739338213822094,1.6081411123147091,2.0317744592921074,1.9911845869806561
52,config_10,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1,1.1752014079240551,1.6863114106320916,1.2561331500664725,1.5584313871180564,2.1019693909815236,1.648695543428829
53,config_10,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1,1.1646554963140303,1.3901025667486975,1.3079112409821625,1.5522194465389612,1.7931496246965815,1.6883352510897445
54,config_10,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1,1.098507041316783,1.225415482234005,1.4786541463449874,1.4644660835678571,1.6319649540800834,1.8388309614993794
55,config_11,,,gbdt,0.8,0.05,6.0,100.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,1.2683137385184247,1.6503848485619372,1.9721844830917277,1.6435845581827133,2.1157091382394673,2.4184289070806773
56,config_11,,,gbdt,0.8,0.05,6.0,100.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,1.2578966764255832,1.7054956180102379,1.6349775950364374,1.6312644515669472,2.163100952860924,2.0586127302922574
57,config_11,,,gbdt,0.8,0.05,6.0,100.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,1.222601877243632,1.8105343742018554,1.3228355803252274,1.6028429644874733,2.224875122454422,1.735616330454772
58,config_11,,,gbdt,0.8,0.05,6.0,100.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,1.2210957579323365,1.4743412751227083,1.4542689118859184,1.6101334059747257,1.899991931442731,1.853894245736384
59,config_11,,,gbdt,0.8,0.05,6.0,100.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,1.1574313219249195,1.2970415456052757,1.5907729454856059,1.5217012415203892,1.7211690067914072,1.941778958538505
60,config_12,,,gbdt,0.8,0.1,12.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,1.2109412680194602,1.6535156930460602,1.9707037022874558,1.5621941919752913,2.129048426770819,2.4255740695478614
61,config_12,,,gbdt,0.8,0.1,12.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,1.206563517432857,1.710260293739815,1.6272213426318338,1.560067051855783,2.1766942384234014,2.0525729684364244
62,config_12,,,gbdt,0.8,0.1,12.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,1.174743651993178,1.8016840394667064,1.3301325512126396,1.5353075365285316,2.2245141325116244,1.745817068197093
63,config_12,,,gbdt,0.8,0.1,12.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,1.1584985380167496,1.4832186509571625,1.4821750164320369,1.526636551264881,1.9151892075003192,1.9115002085804993
64,config_12,,,gbdt,0.8,0.1,12.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,1.107263349484816,1.3108228118834888,1.6065378511385298,1.4568026623766601,1.7396381714513347,1.9682789246454857
65,config_13,,,gbdt,0.8,0.05,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,1.4028753325488879,1.6463866072442783,1.963593509045698,1.8023570947733176,2.1008031897348856,2.3963261783283856
66,config_13,,,gbdt,0.8,0.05,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,1.392664658497321,1.7009956722296764,1.6306407142242139,1.7937471597316472,2.1452785546108677,2.0378610555653327
67,config_13,,,gbdt,0.8,0.05,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,1.3525577451521242,1.7898115198406908,1.3153800278568049,1.7629462018425952,2.1847966428723846,1.7195599236234873
68,config_13,,,gbdt,0.8,0.05,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,1.3355379892969887,1.4632329794540602,1.4408342416983795,1.7508035949487581,1.8786349613771938,1.8271544229199392
69,config_13,,,gbdt,0.8,0.05,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,8,1.2686353540695778,1.292308752908794,1.5819803007211704,1.6595601020960224,1.7117046141723558,1.921408046152794
70,config_14,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,24,10,LSTM,1,24,8,1.748067855834961,1.7009356021881104,1.9813437461853027,2.2267189025878906,2.102757692337036,2.378913402557373
