,model,DLSTM__batch_size,DLSTM__lr,LGB__boosting_type,LGB__colsample_bytree,LGB__learning_rate,LGB__max_depth,LGB__n_estimators,LGB__num_leaves,LGB__reg_alpha,LGB__subsample,LR__fit_intercept,LSTM__batch_size,LSTM__lr,MCCNN__batch_size,MCCNN__lr,MHCNN__batch_size,MHCNN__lr,MLP__hidden_layer_sizes,N_freqs,WaveNet__batch_size,WaveNet__lr,WaveNet__n_filters,WaveNet__n_residual_blocks,n_targets,nterms,regr,stride,win_size,win_smooth,MAE_train,MAE_valid,MAE_test,RMSE_train,RMSE_valid,RMSE_test
47,config_9,,,gbdt,0.8,0.05,6.0,100.0,32.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,10,94.20632849071998,73.64148172641478,169.38634571490434,134.736579358358,102.14923636854617,214.26074716786698
48,config_9,,,gbdt,0.8,0.05,6.0,100.0,32.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,10,86.6014924364225,105.77470443925746,223.4169098839549,125.38946541874941,141.78351810849472,275.6448763236002
49,config_9,,,gbdt,0.8,0.05,6.0,100.0,32.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,10,77.26683576146311,183.110318925321,287.16997682626044,111.06859929189174,243.4159458870888,326.6722856270056
50,config_10,,,,,,,,,,,,,,,,,,,0,32.0,0.001,32.0,3.0,120,10,WaveNet,1,120,10,101.52257537841797,76.9955062866211,82.46959686279297,135.51889038085938,104.38536834716797,113.45858764648438
51,config_10,,,,,,,,,,,,,,,,,,,0,32.0,0.001,32.0,3.0,120,10,WaveNet,1,120,10,94.35240936279297,74.18347930908203,91.6298599243164,127.06063842773438,108.33283996582031,135.65936279296875
52,config_10,,,,,,,,,,,,,,,,,,,0,32.0,0.001,32.0,3.0,120,10,WaveNet,1,120,10,72.32377624511719,82.43246459960938,166.30870056152344,102.34368133544922,112.79904174804688,223.18954467773438
53,config_10,,,,,,,,,,,,,,,,,,,0,32.0,0.001,32.0,3.0,120,10,WaveNet,1,120,10,84.96540069580078,113.60995483398438,223.15968322753906,121.48634338378906,150.37693786621094,284.0861511230469
54,config_10,,,,,,,,,,,,,,,,,,,0,32.0,0.001,32.0,3.0,120,10,WaveNet,1,120,10,71.99942016601562,168.90695190429688,237.24014282226562,105.04499816894531,228.0215606689453,295.0467834472656
55,config_11,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,1,113.7337108225009,69.79657626843658,159.07336347601975,151.97735666297052,98.48095874330099,192.43147765623496
56,config_11,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,1,106.6164162399435,89.83345061455886,143.43953255681794,147.58838766638397,134.0162001765364,184.51246147452417
57,config_11,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,1,95.96791999477111,134.53216984508236,150.55820060971018,138.50159768769512,168.31915434169733,195.25395994078005
58,config_11,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,1,90.29740208477403,85.55324397953474,189.28023679879772,132.49763771818047,122.83700892639563,242.41144673255206
59,config_11,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,1,80.55042612397958,155.84952821503128,245.4468567064423,119.56537452682798,216.8285010376308,286.2998555008669
